classification,path,kind,unit_count,bytes_at_snapshot,purpose,referenced_by,recommended_action,precondition
KEEP_FINAL,shared candidate/model/reader/evaluator modules listed in KEEP_FINAL.md,file_group,8,not_aggregated,canonical reusable implementation,final entrypoints and tests,keep in functional packages,public API documentation
KEEP_FINAL,currently tracked tests under tests/,file_group,13,not_aggregated,supported regression surface,CI and final modules,keep and run in clean locked environment,final freeze and clean-clone test
KEEP_FINAL,tests/test_final_manuscript_answer_generation.py,file,1,not_aggregated,final answer runner regression test,generation/run_final_manuscript_answer_generation.py,keep and track,review then allowlist commit
KEEP_LEGACY,ten original processed dataset roots under data/,directory_group,10,8848381850,original-paper processed inputs,experiments/run_experiments.py,retain as paper_original data bundle,accepted-paper lineage decision
KEEP_LEGACY,ten checkpoints/gnn_subgraph_ranker_*_full/ roots,directory_group,10,182312415,original-paper GraphSAGE checkpoints,experiments/run_experiments.py,retain as paper_original checkpoint bundle,manifest and hashes
KEEP_LEGACY,outputs/full_results/,directory,1,276686666,original-paper full results,README and analysis,retain as paper_original results bundle,manifest and leakage label
KEEP_LEGACY,experiments/run_experiments.py,file,1,not_aggregated,original-paper main runner,README and original checkpoints,retain behind explicit historical wrapper,pin accepted-paper source snapshot
KEEP_LEGACY,data/raw/,directory,1,1948468991,source datasets and download provenance,data builders,retain or replace with licensed download manifest,license review
KEEP_LEGACY,third_party/GNN-RAG code excluding generated data/checkpoints/results,directory,1,not_aggregated,pinned baseline implementation,clean GNN-RAG preparation and runners,retain source plus patch,license and upstream commit pin
KEEP_LEGACY,patches/GNN-RAG-local-changes.patch + .diff,file_group,2,330213,local baseline changes,third-party reproduction,retain one canonical patch after equivalence review,upstream pin and hash
KEEP_LEGACY,checkpoints/production_generator_d_v2_hard_pair/,directory,1,181577929,frozen graph-ablation checkpoints,hard-pair retrieval lineage,retain as thesis graph ablation,manifest verification
KEEP_LEGACY,three hard-pair adaptive-policy roots,directory_group,3,34303292,frozen graph-ablation policies,hard-pair retrieval lineage,retain as graph-ablation bundle,manifest verification
KEEP_LEGACY,hard-pair frozen retrieval and end-to-end roots,directory_group,2,74873319,frozen graph-ablation retrieval and 16996 predictions,evaluation audit and saved lineage,retain immutable as thesis historical comparison,manifest verification
KEEP_LEGACY,outputs/audits/final_test_evaluation_audit/ excluding pytest_tmp,directory,1,114547,independent hard-pair evaluation audit,hard-pair results,retain including zero-byte finding sets,add audit manifest
KEEP_LEGACY,checkpoints/production_generator_d_v1_gnn_rag_clean/,directory,1,367179545,clean GNN-RAG baseline models,final manuscript inputs,retain baseline bundle,final answer freeze
KEEP_LEGACY,outputs/final_results/production_generator_d_v1_test_baselines/,directory,1,559972632,lexical and GNN-RAG baseline inputs plus failed attempts,final baseline and manuscript export,retain until successful/failed portions are indexed,final answer freeze
KEEP_LEGACY,outputs/final_results/final_manuscript_baselines_test_end_to_end/,directory,1,195347127,frozen lexical/GNN-RAG/full-context baseline answers,final manuscript comparison,retain immutable and distinguish full-context reference condition,manifest verification
KEEP_LEGACY,outputs/final_results/production_generator_d_v1_test_retrieval/ + production_generator_d_v1_answer_generation/,directory_group,2,41240487,earlier clean V1 retrieval and answers,diagnostics and manuscript export,retain as superseded thesis history,status index
KEEP_LEGACY,original and shared legacy source/tests listed in KEEP_LEGACY.md,file_group,4,not_aggregated,historical protocol entrypoints,original reproduction,retain with historical label,accepted-paper source pin
NEEDS_REVIEW,.worktrees/sageqa-original-eval-compat/,directory,1,112370538,detached original evaluation compatibility source,Git worktree registry,decide whether commit is authoritative then tag/archive,manual lineage decision
NEEDS_REVIEW,artifacts/step_01_context_to_kg/wikidata_cache/,directory,1,approximately_36500000,costly external-query cache,artifacts manifest,license privacy and protocol review before disposition,manual review
NEEDS_REVIEW,dist/sageqa-submission-artifacts.zip,file,1,52118416,separate A0/A3 submission bundle,artifacts/manifest.json,identify manuscript role before archive/deduplication,manual review
NEEDS_REVIEW,checkpoints/production_generator_d_v1/,directory,1,181578675,pre-hard-pair thesis checkpoints,multiple diagnostics and baseline protections,retain until references are redirected and status agreed,manual scientific decision
NEEDS_REVIEW,checkpoints/production_generator_d_static_hard_v1/,directory,1,181075730,rejected static-hard checkpoint family,static-hard diagnostics,archive or retain based on negative-result policy,manual scientific decision
NEEDS_REVIEW,third_party/GNN-RAG generated data checkpoints and llm/results,directory_group,3,approximately_1665139802,duplicated baseline payload and self-contained outputs,third-party scripts and frozen baseline outputs,deduplicate only after portable reproduction test,license and reference review
NEEDS_REVIEW,failed/incomplete GNN-RAG native-run directories,file_group,3,not_separately_aggregated,failure chronology,baseline output tree,index as FAILED or INCOMPLETE before archive,manual transparency policy
NEEDS_REVIEW,.tmp/distilbert_portability_preflight/,directory,1,4322,portability preflight record,no source reference found,decide whether to copy into canonical experiment provenance,manual provenance review
NEEDS_REVIEW,23 ignored/untracked tests under tests/,file_group,23,not_aggregated,historical tests and one final untracked test,various present and missing modules,restore track or archive individually,manual supported-test policy
NEEDS_REVIEW,.git/objects/,directory,1,2620233531,Git object database,Git itself,never delete manually; measure reachability after tags/worktree decisions,backup and Git-native maintenance only
