path,bytes,file_count,classification,note
outputs/final_results/question_candidate_cross_encoder_v1_adaptive_test_a40/,15587433,6,KEEP_FINAL,frozen canonical TEST retrieval
outputs/final_results/manuscript_retrieval_results/,46907,8,KEEP_FINAL,frozen canonical export
outputs/development_runs/,478863041,215,MIXED,388585060 canonical cross-encoder bytes plus 90277981 archiveable bytes
outputs/development_runs/question_candidate_cross_encoder_v1/,357739103,15,KEEP_FINAL,frozen DEV model/results
outputs/development_runs/question_candidate_cross_encoder_v1_adaptive_input/,17232753,3,KEEP_FINAL,frozen policy input
outputs/development_runs/question_candidate_cross_encoder_v1_final_sageqa_adaptive_k/,6838227,16,KEEP_FINAL,final SAGE-QA policy
outputs/development_runs/question_candidate_cross_encoder_v1_cross_encoder_adaptive_k/,6774977,16,KEEP_FINAL,cross-encoder policy
outputs/development_diagnostics/,73900581,33,SAFE_ARCHIVE,bottleneck and reader diagnostics
outputs/diagnostics/,27395576,86,SAFE_ARCHIVE,rejected/exploratory evidence
outputs/quarantine/,20047392,11,SAFE_ARCHIVE,aborted non-evidence
outputs/final_model_development/,9020751,14,SAFE_ARCHIVE,rejected static-hard development
outputs/final_runs/,7359825,10,KEEP_LEGACY,hard-pair training logs
outputs/full_results/,276686666,333,KEEP_LEGACY,original-paper results
outputs/audits/,114547,8,KEEP_LEGACY,independent final evaluation audit
.worktrees/,112370538,145,NEEDS_REVIEW,detached compatibility checkout
dist/,52118416,1,NEEDS_REVIEW,separate submission bundle
artifacts/,36465527,65,NEEDS_REVIEW,A0/A3 manifest and external-query cache
evaluation/,2432615,124,MIXED,56 source files plus bytecode
data_processing/,438948,19,MIXED,11 source files plus bytecode
generation/,391348,12,MIXED,6 source files plus bytecode
experiments/,336711,32,MIXED,canonical and historical orchestrators
experiments/cross_encoder_reranking_dev_v1/,120804,9,KEEP_FINAL,canonical experiment plus bytecode cache
tests/,289623,42,MIXED,36 tests plus bytecode/fixtures
models/,264585,18,KEEP_FINAL,shared model and symbolic implementation
training/,233544,12,MIXED,final historical and rejected training scripts
notebooks/,34743,1,NEEDS_REVIEW,single notebook requires role review
docs/,79492,2,KEEP_FINAL,pre-v2 audit and methodology audit at snapshot
logs/,13779,5,NEEDS_REVIEW,local logs require run mapping
.ruff_cache/,9529,26,SAFE_DELETE,re-creatable cache
.tmp/,4322,1,MIXED,one accessible preflight manifest plus eight inaccessible pytest roots
