path,type,protocol,status,bytes,git_state,evidence_profile,manifest_state,recommendation,destination,blocker,test_action
tests/test_gnn_rag_alignment.py,test,paper_original,FAILED,6637,ignored_untracked,T01,none,KEEP_VISIBLE,,missing_historical_dependencies,KEEP_AND_RESTORE_DEPENDENCY
tests/test_gnn_subgraph_retriever.py,test,paper_original,FAILED,16576,ignored_untracked,T01,none,KEEP_VISIBLE,,stale_historical_dependency,KEEP_AND_RESTORE_DEPENDENCY
tests/test_run_matched_original_a0_a3.py,test,paper_original,COMPLETE,2947,ignored_untracked,T01,none,KEEP_VISIBLE,,paper_compatibility,KEEP_AND_RESTORE_DEPENDENCY
tests/test_2wiki_heldout_a3.py,test,thesis_superseded,FAILED,1894,ignored_untracked,T02,none,KEEP_VISIBLE,,missing_historical_module,KEEP_AND_RESTORE_DEPENDENCY
tests/test_2wiki_sentence_compiler_v1.py,test,thesis_superseded,FAILED,3047,ignored_untracked,T02,none,KEEP_VISIBLE,,historical_hash_and_fixture_failure,KEEP_AS_DOCUMENTED_FAILURE
tests/test_final_architecture.py,test,thesis_superseded,FAILED,1595,ignored_untracked,T02,none,KEEP_VISIBLE,,missing_historical_module,KEEP_AND_RESTORE_DEPENDENCY
tests/test_prepare_2wiki_reader_comparison.py,test,thesis_superseded,FAILED,878,ignored_untracked,T02,none,KEEP_VISIBLE,,missing_historical_module,KEEP_AND_RESTORE_DEPENDENCY
tests/test_submission_readiness.py,test,thesis_superseded,FAILED,2327,ignored_untracked,T02,none,KEEP_VISIBLE,,superseded_bundle_contract,KEEP_AS_DOCUMENTED_FAILURE
tests/test_symbolic_executor.py,test,thesis_superseded,FAILED,7693,ignored_untracked,T02,none,KEEP_VISIBLE,,one_historical_wording_failure,KEEP_AS_DOCUMENTED_FAILURE
tests/test_ontology_atomic_pool_experiment.py,test,development,COMPLETE,1526,tracked,T03,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/tests/test_ontology_atomic_pool_experiment.py,,ARCHIVE_WITH_SOURCE
tests/test_size_balanced_candidate_composer.py,test,development,COMPLETE,1835,tracked,T03,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/tests/test_size_balanced_candidate_composer.py,,ARCHIVE_WITH_SOURCE
tests/test_static_hard_negative_refinement.py,test,development,COMPLETE,3129,tracked,T03,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/tests/test_static_hard_negative_refinement.py,,ARCHIVE_WITH_SOURCE
tests/test_unified_kg_pipeline.py,test,development,COMPLETE,9013,ignored_untracked,T03,none,ARCHIVE_INTERNAL,archive/development/exploratory/tests/test_unified_kg_pipeline.py,,ARCHIVE_WITH_SOURCE
tests/test_2wiki_hybrid_candidate_retrieval_audit.py,test,development,FAILED,5053,ignored_untracked,T04,none,ARCHIVE_INTERNAL,archive/development/diagnostics/tests/test_2wiki_hybrid_candidate_retrieval_audit.py,,KEEP_AND_RESTORE_DEPENDENCY
tests/test_candidate_construction_audit.py,test,development,FAILED,5365,ignored_untracked,T04,none,ARCHIVE_INTERNAL,archive/development/diagnostics/tests/test_candidate_construction_audit.py,,KEEP_AND_RESTORE_DEPENDENCY
tests/test_compare_retrieval_runs.py,test,development,FAILED,2757,ignored_untracked,T04,none,ARCHIVE_INTERNAL,archive/development/diagnostics/tests/test_compare_retrieval_runs.py,,KEEP_AND_RESTORE_DEPENDENCY
tests/test_create_gnn_dev_sample.py,test,development,FAILED,3950,ignored_untracked,T04,none,ARCHIVE_INTERNAL,archive/development/diagnostics/tests/test_create_gnn_dev_sample.py,,KEEP_AND_RESTORE_DEPENDENCY
tests/test_familyowl_a4_proof_projection.py,test,development,FAILED,1727,ignored_untracked,T04,none,ARCHIVE_INTERNAL,archive/development/diagnostics/tests/test_familyowl_a4_proof_projection.py,,KEEP_AND_RESTORE_DEPENDENCY
tests/test_familyowl_architecture_extensions.py,test,development,FAILED,2703,ignored_untracked,T04,none,ARCHIVE_INTERNAL,archive/development/rejected/tests/test_familyowl_architecture_extensions.py,,ARCHIVE_WITH_SOURCE
tests/test_familyowl_semantic_first_reranking.py,test,development,FAILED,3047,ignored_untracked,T04,none,ARCHIVE_INTERNAL,archive/development/rejected/tests/test_familyowl_semantic_first_reranking.py,,KEEP_AND_RESTORE_DEPENDENCY
tests/test_familyowl_semantic_labels.py,test,development,FAILED,4748,ignored_untracked,T04,none,ARCHIVE_INTERNAL,archive/development/diagnostics/tests/test_familyowl_semantic_labels.py,,KEEP_AND_RESTORE_DEPENDENCY
tests/test_listwise_soft_target_loss.py,test,development,REJECTED,3112,tracked,T04,git_blob,ARCHIVE_INTERNAL,archive/development/rejected/tests/test_listwise_soft_target_loss.py,,KEEP_AS_DOCUMENTED_FAILURE
tests/test_probe_familyowl_compactness.py,test,development,FAILED,2075,ignored_untracked,T04,none,ARCHIVE_INTERNAL,archive/development/diagnostics/tests/test_probe_familyowl_compactness.py,,KEEP_AND_RESTORE_DEPENDENCY
tests/test_probe_familyowl_representations.py,test,development,FAILED,1189,ignored_untracked,T04,none,ARCHIVE_INTERNAL,archive/development/diagnostics/tests/test_probe_familyowl_representations.py,,KEEP_AND_RESTORE_DEPENDENCY
tests/test_symbolic_candidate_diagnostics.py,test,development,FAILED,7194,ignored_untracked,T04,none,ARCHIVE_INTERNAL,archive/development/diagnostics/tests/test_symbolic_candidate_diagnostics.py,,KEEP_AND_RESTORE_DEPENDENCY
